Sample	Heading_date(days)|Hainan|2010	Plant_height(cm)|Hainan|2010	Peduncle_length(cm)|Hainan|2010	Panicle_length_per_main_stem(mm)|Hainan|2010	Bristle_length(mm)|Hainan|2010	Diameter_of_main_stem(cm)|Hainan|2010	Panicle_diameter(mm)|Hainan|2010	Stem_node_number|Hainan|2010	Tiller_number|Hainan|2010	Branch_number_per_plant|Hainan|2010	Number_of_total_panicles_per_plant|Hainan|2010	Leaf_sheath_color|Hainan|2010	Leaf_pulvinus_color|Hainan|2010	Bristle_color|Hainan|2010	Weight_per_panicle(g)|Hainan|2010	Grain_weight(g)|Hainan|2010	Panicle_shape|Hainan|2010
WGS0001	25	51.3	23.7	8.1	6	2.47	13.95	5	1	1	3	2	2	2	3.05	2.27	2
WGS0002	25	50.7	24	9.8	6	3.18	13.21	4	0	4	5	4	3	3	3.52	2.58	2
WGS0003	28	69	25.8	12	4	3.97	20.58	6	0	0	1	4	3	2	5.95	4.7	2
WGS0004	28	61.7	29.7	10.8	5	2.55	13.11	5	0	0	1	2	2	2	3.8	2.77	2
WGS0005	34	70	24.8	9.8	3	4.14	16.35	7	1	1	2	4	3	2	5.89	4.42	2
WGS0006	27	43.3	23.7	5.2	3	2.8	13.17	4	1	3	9	2	2	2	1.42	1.04	2
WGS0007	33	63.7	29	10.2	3	3.28	12.23	7	0	2	3	5	3	3	3.25	2.11	3
WGS0008	27	52.3	30.5	6	2.5	5.11	11.43	4	1	3	4	2	2	3	2.23	1.7	2
WGS0009	28	58	31.9	8.7	4	4.92	11.54	5	0	0	1	5	3	3	4.23	3.46	2
WGS0010	34	72.7	26	10	5.5	4.13	13.47	5	0	0	1	5	3	3	5.07	3.99	2
WGS0011	30	49.3	26.3	8.6	4	3.1	16.21	4	1	0	2	4	3	2	4.33	3.21	2
WGS0012	32	72	35	10	4	3.94	15.97	5	1	1	2	5	3	3	4.58	3.75	2
WGS0013	28	45.3	22.3	7.7	3	3.17	10.39	4	2	1	6	5	3	3	2.1	1.42	NA
WGS0014	30	64.5	28	9.7	3	3.38	14.55	6	0	0	1	2	2	2	4.18	3.38	2
WGS0015	28	66	33.3	11.1	5.5	3.28	14.63	5	2	3	5	2	2	2	7.03	5.42	2
WGS0016	28	52	27.3	8.2	5	3.15	10.5	5	2	1	6	4	2	2	2.31	1.79	2
WGS0017	28	38.3	20.3	5.7	4	2	9.42	3	2	2	9	2	2	2	6.68	5.27	2
WGS0018	36	65.3	29.7	12.3	5	4.35	17.07	6	0	1	2	2	2	3	6.68	5.27	2
WGS0019	40	75	28.7	12.2	5	5.06	17.77	8	0	0	1	2	2	2	7.63	5.91	3
WGS0020	33	70.3	30	11.8	4.5	3.97	13.26	6	1	2	2	4	3	2	5.08	3.7	2
WGS0021	36	58.7	23.7	9	NA	4.03	18.2	7	0	0	1	4	3	3	5.49	4.18	2
WGS0022	33	66.7	33.8	9.6	4	3.64	13.82	5	0	0	1	2	2	2	5.35	4.19	2
WGS0023	33	55.3	28.3	10.3	3	3.86	13.7	6	0	0	1	2	2	2	6.69	5.12	2
WGS0024	39	70.7	25.3	11.3	4.5	4.14	17.13	8	1	0	1	3	2	2	7.35	5.26	2
WGS0025	37	72.7	30.3	9.8	2	4.44	17.15	8	0	0	1	4	2	2	6.47	4.55	6
WGS0026	42	70.3	21	16	2	4.05	12.58	6	0	0	1	5	3	3	9.41	7.39	2
WGS0027	31	48.5	21.3	9.2	NA	3.03	17.09	5	0	0	1	2	2	2	4.04	3.05	NA
WGS0028	31	54	24	9.2	NA	4.4	14.36	5	0	0	1	2	2	2	5.72	4.57	2
WGS0029	27	55.3	26	10	2	4.36	14.16	5	2	0	4	4	3	3	3.02	2.36	2
WGS0030	26	47.7	26	8.5	3	3.01	13.08	4	1	1	3	4	3	3	2.92	2.25	2
WGS0031	26	47.8	27.2	9	NA	3.1	11.96	4	0	0	1	4	2	2	4.14	3.17	2
WGS0032	26	43.3	20.3	7.7	4	2.57	11.58	4	2	1	4	4	3	2	2.63	2.03	2
WGS0033	33	63.3	30.3	13.5	3	4.31	15.6	6	0	0	1	5	3	3	7.11	5.8	2
WGS0034	27	43.7	22.7	9.3	2	3.54	14.69	5	0	0	1	5	3	3	3.34	2.63	2
WGS0035	32	39	20.7	10.2	3	2.74	11.85	5	0	0	1	5	3	2	3.94	3.05	6
WGS0036	29	47.7	24.7	9.3	3	3.64	14.45	5	0	0	1	5	3	2	5.55	4.54	6
WGS0037	27	50	26	7.8	4	3.22	9.86	5	1	3	8	5	3	2	2.03	1.68	2
WGS0038	31	56.3	29.3	10.8	1	2.84	15.74	6	0	0	1	2	2	3	5.33	4.04	2
WGS0039	32	70.7	32.3	13	1	3.98	15.28	6	0	0	1	2	2	2	5.84	4.54	2
WGS0040	32	54.7	27	11.8	2.5	3.46	14.67	6	0	0	1	5	3	3	5.39	4.14	2
WGS0041	41	67.7	25.3	13	6	4.58	13.14	7	0	0	1	5	3	3	5.92	4.63	2
WGS0042	30	55.3	23.7	11.5	4	3.89	17.66	6	0	0	1	5	3	2	6.51	5.1	6
WGS0043	34	69.3	35	10.7	3	3.89	14.25	7	0	0	1	5	3	3	5.68	4.37	2
WGS0044	27	47	24.7	6.2	1	2.44	14.12	4	0	1	2	2	2	2	2.01	1.6	2
WGS0045	30	57	30.7	9.2	1	3.73	13.65	5	0	0	1	5	3	2	5.47	4.42	2
WGS0046	32	51	30	8.2	3.5	3.4	14.78	5	0	0	1	5	3	3	3.78	3.01	6
WGS0047	34	46.2	26.2	8	3	3.46	15.88	5	0	0	1	2	2	2	2.15	1.01	3
WGS0048	39	73	30	11.3	3	5.27	17.07	7	0	0	1	2	2	2	8.96	7.05	2
WGS0049	36	69.3	26	11.2	NA	5.23	14.23	7	0	0	1	5	3	3	6.02	4.55	2
WGS0050	39	74	27.7	13	5	5.04	18.85	7	0	0	1	4	2	2	8.47	6.26	2
WGS0051	38	68.7	18.3	10.3	4	4.5	16.85	7	1	0	2	4	3	3	6.88	4.81	3
WGS0052	40	77	25	12.7	1	5.62	17.11	9	0	0	1	2	2	2	11.52	8.82	2
WGS0053	28	63.3	31	9.8	1	4.54	15.3	5	0	0	1	2	2	2	5.91	4.59	3
WGS0054	45	81.3	29	15.5	2	5.48	24.12	8	0	0	1	5	3	3	12.82	9.85	2
WGS0055	34	60.7	21	9	5	3.56	12.76	6	2	0	3	4	3	3	3.38	2.54	2
WGS0056	38	70.3	32	13	5	5.03	15.08	7	1	0	2	3	2	3	7.99	5.64	2
WGS0057	32	66	31	8.8	2	3.1	13.62	5	0	0	1	4	3	3	5.04	3.84	2
WGS0058	37	67	28	11.8	1	4.01	13.9	6	2	0	3	2	2	2	6.61	5.24	2
WGS0059	43	78.3	21	12.8	1	5.25	19.11	8	0	0	1	3	2	2	9.07	6.72	2
WGS0060	37	69.3	28.3	12	2	3.47	17.34	8	1	3	3	2	2	2	6.28	4.92	2
WGS0061	43	78	23	15	1	4.89	20.89	9	0	0	1	2	2	2	9.82	8.01	2
WGS0062	41	71.7	23.7	14	2	5.01	21.7	7	0	0	1	5	3	3	9.08	6.75	2
WGS0063	42	73.3	28.3	13.3	4	4.92	18.47	8	1	0	2	3	2	2	11.25	9.11	2
WGS0064	39	67.3	25.7	12.5	1	4.94	19.24	7	0	0	1	4	3	3	6.85	5.69	2
WGS0065	42	68.7	27	14.2	2	4.35	18.93	7	0	0	1	3	2	2	6.66	5.08	6
WGS0066	37	58.7	24.3	12.3	2	5.49	24.49	7	0	0	1	5	3	3	8.21	6.21	2
WGS0067	32	53	26	10.7	1	4.34	15.01	6	1	1	1	4	3	2	3.77	2.73	2
WGS0068	28	41.7	21	8.5	2	3.15	21.55	5	0	0	1	2	2	2	3.55	2.74	2
WGS0069	37	66.3	23	12.3	1	4.63	17.88	7	0	0	1	4	3	2	7.43	5.89	2
WGS0070	35	64	27	11.7	4	4.07	19.47	7	0	0	1	5	3	3	5.62	2.76	2
WGS0071	36	65.3	21.5	16.8	4	4.33	16.01	7	0	0	1	5	3	3	7.35	5.7	2
WGS0072	32	54	22.7	10.7	1	3.59	16.07	6	0	0	1	5	3	3	6.07	4.91	6
WGS0073	32	70	35	13.8	1	3.86	13.29	5	2	0	3	5	3	3	5.56	4.28	2
WGS0074	36	54	26.7	9.5	5	3.46	12.41	6	0	0	1	5	3	3	3.8	2.81	2
WGS0075	42	65.7	20.7	9.6	1	4.61	17.76	6	1	2	3	5	3	3	6.18	4.61	2
WGS0076	40	60.3	27.7	8.8	1	4.74	14.47	5	0	0	1	2	2	2	5.52	4.49	2
WGS0077	40	60.3	26.7	12.5	1	4.99	23.85	7	0	0	1	2	2	2	9.63	7.45	2
WGS0078	28	54.7	28	8.8	4	3.15	12.24	5	0	0	1	3	3	3	2.93	2.32	2
WGS0079	31	49.7	21.3	10.5	3	3.51	14.86	6	0	0	1	3	2	2	4.18	3.21	2
WGS0080	64	NA	NA	NA	1	6.71	26.29	NA	0	0	1	2	2	2	16.6	12.78	3
WGS0081	43	68.3	23	15	4	4.35	19.44	8	2	0	3	3	2	3	5.73	4.1	2
WGS0082	39	69	29.3	14.5	3	4.9	24.87	7	0	0	1	2	2	2	11.09	8.46	6
WGS0083	50	93	24.3	15.7	4	6.66	32.36	9	0	0	1	2	2	2	18.49	13.86	2
WGS0084	57	83.3	17	13	9	4.68	13.11	9	2	0	3	2	2	2	3.31	2.53	2
WGS0085	28	84.7	40.7	9	1	4.45	14.53	6	0	0	1	5	3	3	3.82	3.15	2
WGS0086	28	61.7	31.7	9.1	5	2.91	12.07	4	1	4	7	5	3	3	2.82	1.93	2
WGS0087	35	69.7	23.2	10.3	1	3.21	16.47	6	0	0	1	3	3	2	6.2	4.09	2
WGS0088	33	66.7	34	11	4	4.56	19.06	5	2	3	7	4	3	3	4.96	3.77	2
WGS0089	31	61.7	31	11	6	3.52	14.38	5	1	3	5	4	3	3	4.29	3.4	2
WGS0090	40	55.3	25	10.8	3	4.04	21.66	6	2	2	4	4	3	3	3.97	2.56	2
WGS0091	44	83.3	23	13.7	1	4.51	24.54	8	0	0	1	2	2	3	7.33	4.55	3
WGS0092	NA	74	24	14.5	1	5.49	22.64	8	0	0	1	5	3	3	8.88	6.95	2
WGS0093	40	101.3	33	16.5	1	5.61	15.81	7	0	0	1	2	2	2	7.11	5.34	2
WGS0094	32	61.3	25.7	11.2	3	3.27	13.63	6	1	4	6	3	2	2	5.62	4.29	3
WGS0095	28	43	22.2	5	1	2.41	10.55	4	1	2	4	5	3	3	1.01	0.81	NA
WGS0096	43	73.3	23.7	14	2	4.77	20.88	8	0	0	1	2	2	2	10.33	8.31	2
WGS0097	27	38.7	23.3	6.5	2	2.94	11.35	4	2	1	4	3	2	2	2.33	1.92	2
WGS0098	34	56	24	10.3	1	2.88	16.36	5	0	0	1	3	3	3	4.69	3.79	2
WGS0099	28	43.7	20.8	10.2	1	4.04	15.49	5	0	0	1	2	2	2	4.41	3.3	2
WGS0100	26	43	19.7	6	2	2.3	11.59	4	2	3	6	5	3	3	1.19	0.95	2
WGS0101	34	62.3	34	9.3	2	3.38	17.17	6	0	0	1	2	2	2	4.98	4.14	2
WGS0102	26	60.7	29.7	7.3	1	2.92	11.7	4	1	2	7	5	3	3	2.52	2.06	2
WGS0103	33	86	36.7	12.8	4	4.18	16.46	7	0	0	1	2	2	2	6.73	4.97	2
WGS0104	28	43	21.3	7	1	3	14.17	5	0	0	1	5	3	3	3.76	3.03	2
WGS0105	30	45	24.3	7.3	3	3.5	13.26	4	0	0	1	3	3	3	2.6	1.89	6
WGS0106	26	45.7	20.7	8.3	1	2.69	14.18	5	0	0	1	3	3	3	3.47	2.72	2
WGS0107	31	54.3	28.7	9.5	2	4.49	16.59	6	0	0	1	2	2	2	5.42	4.46	2
WGS0108	36	63	25	11.3	1	4.06	18.97	6	0	0	1	2	2	2	5.98	4.59	2
WGS0109	31	49.7	23.5	9.8	6	2.55	14.3	5	0	0	1	2	2	2	3.6	2.22	2
WGS0110	29	24.7	18.8	6.3	1	3.43	12.31	4	1	0	2	3	3	2	2.69	2.01	2
WGS0111	28	42.7	22.2	6.5	3	2.29	9.52	4	2	2	4	5	3	2	2.37	2.02	2
WGS0112	32	69	31	9.8	1	3.33	13.27	6	0	0	1	2	2	2	4.68	3.51	2
WGS0113	32	62.7	26	10.7	2	4.62	12.68	7	0	0	1	4	3	3	4.34	3.57	2
WGS0114	73	119.7	27	20.5	3	6.76	15.9	10	0	0	1	2	2	2	8.34	5.77	NA
WGS0115	32	55	32.3	10.3	3	4.42	17.34	5	0	0	1	4	3	2	7.36	5.75	2
WGS0116	28	46.3	25	8.7	1	3.76	13.73	4	0	0	1	2	2	2	4.22	3.28	2
WGS0117	30	51.7	28	12	2	3.65	11.96	4	1	1	3	3	3	3	4.02	3.14	2
WGS0118	28	52.7	24	9.2	2	3.27	12.86	5	0	0	1	5	3	3	3.47	2.05	2
WGS0119	28	56	29	6.2	1	3.15	11.62	4	1	4	5	4	3	2	2.74	2.05	2
WGS0120	28	49.3	29	8	1	3.89	15.3	4	0	0	1	2	2	3	4.9	3.33	2
WGS0121	30	44	20.7	10.3	5	3.49	14.86	4	1	1	2	2	2	2	4.28	3.36	2
WGS0122	29	51	25.7	12.5	5	3.29	14.67	4	1	5	7	5	3	3	2.09	1.62	2
WGS0123	31	49.7	28.7	10	4	3.11	13.56	4	1	1	3	2	2	2	2.6	1.81	2
WGS0124	33	78	31	18	2	5.47	24.85	7	0	0	1	3	3	3	7.38	5.37	NA
WGS0125	31	69	32.7	10.7	1	4.21	18.46	6	0	0	1	3	3	3	6.78	5.55	2
WGS0126	27	53	28.7	9.3	1	3.49	14.34	5	0	0	1	4	3	2	4.02	2.79	2
WGS0127	31	57.7	23	12.5	3	4.17	16.11	6	0	0	1	3	2	2	5.94	4.87	2
WGS0128	44	79.3	25.7	14.7	1	5.96	31.46	8	0	0	1	4	3	3	12.6	9.47	2
WGS0129	33	70	31	10.3	4	4.46	17.47	5	1	0	2	3	3	3	5.35	4.26	2
WGS0130	34	61.7	30.7	11	2	4.69	15.89	6	0	0	1	3	3	2	6.54	5.06	2
WGS0131	34	57	26.3	11.7	1	3.44	18.1	5	0	0	1	5	3	2	6.27	4.54	2
WGS0132	26	45.3	28.7	6.8	1	2.85	12.13	4	0	0	1	5	3	3	2.64	1.93	2
WGS0133	26	54.3	23	7.2	1	2.24	9.07	5	1	1	3	5	3	3	1.44	1.11	2
WGS0134	33	56.3	34.3	7.8	3	4.13	16.35	5	0	0	1	4	3	2	3.1	1.96	2
WGS0135	32	56.8	26.8	11.2	2	3.58	14.31	6	0	0	1	5	3	2	5.53	4.44	NA
WGS0136	32	66.2	34.2	10.3	3.5	3.59	16.83	5	0	2	3	4	3	2	5.44	4.18	2
WGS0137	43	69.7	29.3	13	3	5.3	16.27	8	0	0	1	3	2	2	8.53	6.68	2
WGS0138	NA	64	25.5	13.5	1.5	4.04	18.1	7	0	0	1	2	2	2	7.39	5.91	2
WGS0139	32	59.7	29.8	7.5	2.5	2.62	12.43	5	1	3	2	2	2	2	2.89	2.3	2
WGS0140	26	37.7	23	5.7	3	2.67	10.36	4	2	1	6	2	2	2	1.98	1.57	2
WGS0141	32	56.7	26	9.5	3	3.74	11.96	5	1	1	2	5	3	2	4.67	3.62	2
WGS0142	21	33.7	18.7	4.5	3	1.66	7.87	4	2	3	8	2	2	2	0.55	0.37	2
WGS0143	21	50.3	24.7	9.9	1	4.54	19.27	5	0	0	1	3	3	3	5.32	4	2
WGS0144	32	53.3	27.3	11.2	1.5	2.97	14.46	5	0	0	1	2	2	2	6.22	4.93	2
WGS0145	39	54	23.3	9	1.5	3.6	16.52	7	0	0	1	2	2	3	5.57	4.25	2
WGS0146	28	55.7	26	10.3	2.5	3.17	15.56	6	0	0	1	2	2	3	4.98	3.73	2
WGS0147	32	54	22.7	11.7	4	3.26	14.56	5	0	1	1	5	3	3	5.75	3.79	6
WGS0148	44	76.7	22.7	15.7	2	5.44	22.38	8	0	0	1	5	3	3	11.62	9.29	2
WGS0149	33	59	29.3	10	2	3.6	19.84	5	0	0	1	3	3	3	6.53	5	2
WGS0150	28	45	22	9	1	3.36	16.97	5	0	0	1	5	3	2	5.64	4.25	2
WGS0151	37	68	26	13	4	4.51	15.4	7	0	4	3	3	3	3	5.41	3.71	2
WGS0152	28	37.3	21.7	6	1	2.43	10.21	3	0	1	2	3	3	3	1.67	1.38	2
WGS0153	33	54.3	23	12.3	3	3.78	17.54	6	0	3	3	5	3	3	4.61	3.08	2
WGS0154	31	55.7	28	8	2	2.84	12.65	6	0	0	1	5	3	3	3.33	2.7	2
WGS0155	30	48.7	25.7	11	1	3.72	16.31	5	0	0	1	2	2	2	5.72	4.26	2
WGS0156	28	59	33	7.6	4	3.38	13.89	5	0	0	1	5	3	3	3.57	2.76	2
WGS0157	33	49.7	24.3	12.7	6	4.46	18.55	6	0	0	1	4	3	2	6.41	5.05	2
WGS0158	32	60.3	27	10.5	3	4.34	15.42	6	0	2	1	4	2	2	5.46	4.07	2
WGS0159	40	70.7	30	16	3	4.38	18.87	7	1	0	2	2	2	3	10.63	7.54	2
WGS0160	27	44.3	28	6.7	1	3.25	12.14	4	0	0	1	3	2	2	2.53	1.84	2
WGS0161	30	21.3	9.5	4.1	NA	2.39	12.38	5	3	3	6	3	2	2	1.58	0.99	NA
WGS0162	NA	72.7	29.7	14	7	4.15	18.66	8	0	0	1	4	3	3	5.47	3.05	2
WGS0163	43	84.3	26.7	10	1	4.76	14	6	0	0	1	4	3	3	7.1	5.12	2
WGS0164	41	99.3	26.7	12.3	2	5.72	16.73	8	0	0	1	2	2	2	7.84	5.1	2
WGS0165	56	96	20.7	15.3	10	6.02	16.17	8	3	0	4	4	3	3	7.54	6.02	2
WGS0166	38	81	31.3	14	2.5	4.8	16.61	8	1	0	2	5	3	3	6.41	4.31	2
WGS0167	55	86	26.3	20.7	5	5.57	25.16	10	0	0	1	4	3	3	10.01	7.08	2
WGS0168	41	70.3	26.7	10.7	1	3.39	12.91	7	0	0	1	5	2	2	5.37	4.21	6
WGS0169	49	63.3	23	13.7	4.5	4.14	16.82	7	1	0	2	2	2	2	7.6	5.7	2
WGS0170	42	66.3	24.7	15.2	2.5	5.39	13.81	7	1	0	2	2	2	2	8.87	5.67	6
WGS0171	NA	74.3	27.7	12	1	4.93	19.08	8	0	0	1	3	2	2	8.53	6.56	2
WGS0172	NA	76.7	24.2	14.2	4	5.12	18.12	8	0	0	1	4	3	3	9.45	7.52	2
WGS0173	51	89.3	18.7	13.5	2	5.84	27.13	11	0	0	1	2	2	2	11.43	8.14	2
WGS0174	33	56	27.7	14.2	5	3.52	10.89	5	2	0	3	2	2	2	5.28	4.26	2
WGS0175	49	96	24.7	20.3	3	5.7	25.69	9	1	0	2	2	2	2	11.26	8.61	2
WGS0176	42	67	24.3	11.3	2	7.21	22.72	8	0	0	1	3	2	2	3.53	1.56	2
WGS0177	44	66.3	16.3	16	5	5.6	13.9	7	0	0	1	3	2	2	3.53	1.56	2
WGS0178	45	61.7	21.7	10.3	2	5.08	17	8	0	0	1	2	2	2	7.83	5.84	2
WGS0179	32	57.7	32	9.7	1	3.15	16.27	5	0	0	1	5	3	3	4.92	4.02	2
WGS0180	32	54.7	25.3	9.7	2	3.96	16.21	6	1	2	3	5	3	2	4.86	3.53	2
WGS0181	39	64.3	26.3	9.7	1	4.18	20.1	7	0	0	1	2	2	2	5.91	4.5	2
WGS0182	39	71.7	27.3	12.7	4	3.75	20.34	6	0	0	1	2	2	2	11.26	9.23	2
WGS0183	27	43	26	8.3	2	2.98	12.46	5	0	1	1	2	2	2	3.23	2.43	6
WGS0184	32	44.7	25.7	9	3	3.21	10.34	4	2	3	2	2	2	2	3.24	2.62	2
WGS0185	43	78.7	26.7	15.7	5	7.27	21.27	8	0	0	1	4	3	2	11.67	7.67	2
WGS0186	33	63.3	33	10.3	3	3.45	11.85	5	0	0	1	5	3	3	4.04	3.36	6
WGS0187	33	65.3	32.3	14.7	4	3.9	14.74	6	0	0	1	5	3	3	9.14	7.46	2
WGS0188	39	71.7	28	14.3	4	4.73	14.65	7	0	0	1	5	3	3	8.74	7.4	2
WGS0189	33	67.3	35.3	10.5	5	3.24	16.46	5	0	0	1	2	2	2	6.48	5.12	2
WGS0190	32	61.3	31.7	10	3	3.08	12.76	5	0	1	2	5	3	3	5.76	4.69	2
WGS0191	41	76.7	29.7	15.7	4	5.99	21.17	7	0	0	1	4	3	3	7.11	5.87	2
WGS0192	NA	75	28	19	5	6.05	19.84	7	0	0	1	2	2	2	8.06	6.09	2
WGS0193	39	84.7	34	14.7	4	3.98	14.16	7	0	0	1	5	3	2	10.11	8.28	6
WGS0194	31	66	30.7	10.3	2	3.4	13.03	6	0	0	1	5	3	3	6.2	5.01	2
WGS0195	25	47.7	30.3	6.5	4	2.15	9.56	4	0	3	3	5	3	3	1.53	1.21	2
WGS0196	40	92.3	35.3	22.7	4	4	18.51	6	0	0	1	2	2	2	12.5	10.48	2
WGS0197	23	56	32	8.5	4	3.23	13.85	4	1	2	3	4	3	2	2.22	1.7	2
WGS0198	23	49.3	22	8	3	2.84	10.48	5	1	2	3	2	2	2	2.28	1.81	2
WGS0199	28	50.3	23.7	8.3	1	2.95	11.4	5	0	3	3	5	3	3	2.42	2.01	2
WGS0200	26	51	28.3	7.3	1	2.16	13.14	4	1	1	2	5	3	3	3.6	2.84	2
WGS0201	26	51.7	27	8.5	1	3.5	13.01	4	1	0	2	5	3	3	3.02	2.45	2
WGS0202	40	86.7	30.3	16.7	3	4.32	26.26	7	1	1	2	5	3	2	14.94	12.18	2
WGS0203	36	67.7	25.3	12.7	4	5.02	18.64	6	0	1	2	4	3	3	6.23	4.71	2
WGS0204	33	57	24.3	12.3	4	4.76	16.63	7	0	0	1	4	2	2	6.28	4.24	2
WGS0205	32	65	26	9.7	5	3.53	12.69	6	0	1	2	5	3	3	3.48	2.88	2
WGS0206	42	83.3	28.3	16.7	6	7.64	23.44	7	0	0	1	2	2	2	7.5	6.82	2
WGS0207	41	68	24	16	7	4.93	20.3	7	0	0	1	4	3	2	7.57	5.47	2
WGS0208	33	73.7	34.3	11.3	5	4.54	16.31	7	0	2	3	3	2	2	5.87	4.46	2
WGS0209	40	81.3	31.3	13.7	4	4.77	18.52	6	1	2	3	3	2	2	6.34	3.87	2
WGS0210	64	116.5	32.7	21	1	6.19	20.27	10	0	0	1	5	3	3	12.23	8.27	NA
WGS0211	65	104.7	20.7	23.7	3	8.7	38.7	11	0	0	1	3	2	3	18.81	10.27	2
WGS0212	28	55	24	8.5	4.5	3.21	10.35	5	3	3	10	4	3	3	2.59	1.98	2
WGS0213	52	111.7	30.3	15	1	4.98	20.44	8	0	0	1	2	2	2	10.16	7	2
WGS0214	NA	50.7	19.3	11	2	4.8	15.3	7	0	0	1	5	3	3	6.04	3.93	2
WGS0215	41	59.3	23.3	18.7	2	6.59	31.18	6	0	0	1	3	2	2	13.03	9.72	7
WGS0216	43	71.5	22.7	16.7	2.5	6.16	24.33	9	0	0	1	2	2	2	16.02	12.08	2
WGS0217	45	75	21.2	18.7	3	6.35	26.57	10	0	0	1	2	2	2	19.78	9.89	2
WGS0218	40	82.7	28	14.7	4	5.46	17.45	8	0	0	1	4	3	2	12.28	9.55	2
WGS0219	33	73.3	32.7	13.2	3	5.92	18.03	6	2	0	3	2	2	3	6.81	5.07	2
WGS0220	44	89	26.7	27	7	4.47	23.21	6	0	0	1	2	2	2	10.75	7.66	NA
WGS0221	40	79.3	26	16.2	3	4.83	17.78	7	0	1	2	4	3	2	11.04	8.71	2
WGS0222	81	115.3	17.5	31.8	3	10.7	14.45	12	1	0	2	2	2	2	12.65	8.67	6
WGS0223	81	114	15	22.7	3	7.32	22.78	12	0	0	1	3	3	2	11.68	6.68	NA
WGS0224	69	112.7	24.3	26.7	2	6.84	22.48	11	0	0	1	3	2	3	16.71	10.9	NA
WGS0225	54	112	26.3	18.1	4	5.99	19.86	10	1	1	3	2	2	2	12.52	9.68	NA
WGS0226	42	77.7	24.3	13.7	2	4.33	24.19	9	0	0	1	2	2	2	8.98	6.78	NA
WGS0227	45	85.7	25	11.9	3	5.18	18.65	9	0	0	1	3	2	2	7.19	7.09	NA
WGS0228	36	80	35.3	14.7	2	4.55	21.56	6	0	0	1	2	2	3	8.9	6.81	NA
WGS0229	41	85	29.7	14.7	2	5.88	20.13	7	1	0	2	5	3	3	8.85	7.21	NA
WGS0230	46	103.7	29	12	3	5.5	19.98	8	0	0	1	5	3	3	7.28	4.98	NA
WGS0231	71	115.7	19	28.8	3	7.25	21.95	11	1	0	2	3	2	2	13.6	8.96	NA
WGS0232	56	107	23	22	4	7.63	21.82	10	3	0	4	2	2	2	11.85	8.53	NA
WGS0233	43	91.7	27.3	18.3	5	5.27	21.54	9	0	0	1	4	3	2	12.41	9.42	NA
WGS0234	28	49.3	22.3	8	4	2.79	10.77	4	3	3	7	2	2	2	2.68	2.12	NA
WGS0235	50	88.3	32.7	18	6	6.31	23.8	8	0	0	1	4	3	3	5.46	3.24	NA
WGS0236	43	86.3	31.7	18.7	5	5.7	24.93	6	0	0	1	4	3	3	13.78	10.98	NA
WGS0237	32	64	29	11.3	4	4.27	14.83	6	1	1	2	2	2	2	7.71	4.58	NA
WGS0238	30	58	22.7	11.3	4	2.63	13.44	6	0	0	1	3	2	2	5.25	4.07	NA
WGS0239	32	66.3	28.3	12	4	5.05	15.91	5	0	0	1	2	2	2	7.99	5.72	NA
WGS0240	32	67	28	9.7	3	3.56	17.07	5	NA	NA	NA	3	3	2	4.95	2.98	NA
WGS0241	41	77.7	23.3	10.2	5	4.2	13.97	8	1	0	2	2	2	2	7.47	5.69	NA
WGS0242	42	77.7	24.7	10.8	4	5.89	11.36	8	2	0	3	2	2	2	4.49	2.68	NA
WGS0243	33	57.3	24.3	10	1	3.32	10	6	2	0	3	4	3	3	4.41	3.26	NA
WGS0244	45	75.3	25	20.3	3	6.12	19.78	8	0	0	1	2	2	2	10.04	7.9	6
WGS0245	31	61.7	22.7	14.7	2	4.52	13.22	6	1	2	2	2	2	2	5.96	4.3	NA
WGS0246	39	96.3	24.7	15.8	2	5.18	20.28	9	1	0	2	5	3	3	9.97	7.82	NA
WGS0247	57	115.7	21.7	13.3	3	7.38	16.36	10	3	0	4	2	2	2	5.33	4.02	NA
WGS0248	50	111.3	31	21	5	8.04	25.59	10	0	0	1	3	2	2	11.75	8.22	6
WGS0249	42	89.7	26.7	14	5	5.49	23.37	8	2	0	3	2	2	3	6.38	4.85	NA
WGS0250	49	107	24.3	31.5	2	8.31	24.56	9	1	0	2	2	2	2	9.14	6.66	NA
WGS0251	54	108	27.3	27	7	6.16	24.23	9	2	0	3	2	2	3	12.21	9.21	6
WGS0252	54	86	11	21.2	4	5.78	19.29	10	2	0	3	3	2	2	10.56	7.12	6
WGS0253	39	100.7	35	23.7	5	6.18	20.42	8	0	0	1	2	2	2	10.33	7.65	NA
WGS0254	42	107	32.3	22	3	6.4	20.34	8	1	0	2	2	2	2	12.79	9.38	NA
WGS0255	37	94.7	35	22.3	4	4.86	22.29	6	0	0	1	2	2	2	7.96	5.61	NA
WGS0256	37	93.7	27.3	20.3	4	6.3	31.3	8	0	0	1	2	2	2	14.96	11.66	NA
WGS0257	37	102	39.3	24	4	5.7	25.22	7	0	0	1	2	2	2	12.12	9.86	NA
WGS0258	27	63	31.7	9.9	2	4.08	15.82	5	0	0	1	2	2	2	4.09	3	NA
WGS0259	75	84.7	13.7	18.3	1	9.85	19.87	11	1	0	2	5	3	3	6.9	3.07	NA
WGS0260	80	109	20.7	16.3	1	7.74	28.97	11	1	0	2	5	3	2	8.55	5.12	NA
