Sample	Heading_date(days)|Hainan|2010	Plant_height(cm)|Hainan|2010	Peduncle_length(cm)|Hainan|2010	Panicle_length_per_main_stem(mm)|Hainan|2010	Bristle_length(mm)|Hainan|2010	Diameter_of_main_stem(cm)|Hainan|2010	Panicle_diameter(mm)|Hainan|2010	Stem_node_number|Hainan|2010	Tiller_number|Hainan|2010	Branch_number_per_plant|Hainan|2010	Number_of_total_panicles_per_plant|Hainan|2010	Leaf_sheath_color|Hainan|2010	Leaf_pulvinus_color|Hainan|2010	Bristle_color|Hainan|2010	Weight_per_panicle(g)|Hainan|2010	Grain_weight(g)|Hainan|2010	Panicle_shape|Hainan|2010
WGS0646	45	97.3	27.3	14	2	6.54	19.32	8	1	0	2	2	2	2	7.97	5.83	NA
WGS0647	38	75.3	22.3	12.3	2	5.76	18.2	8	0	0	1	3	2	2	6.25	4.17	NA
WGS0648	56	104.3	27.3	15.5	1	7.11	20.6	9	1	0	2	2	2	2	10.69	8.79	NA
WGS0649	41	86	29	13.3	2	5.79	17.46	7	0	0	1	2	2	3	7.62	5.35	NA
WGS0650	36	60.7	26	13	1	5.1	16.4	5	0	0	1	2	2	2	3.57	2.5	NA
WGS0651	50	95.3	25.8	12.3	1	6.32	19.48	8	1	0	2	3	2	2	7.02	5.39	NA
WGS0652	48	98	27.3	14.5	3	7.18	19.1	9	0	0	1	2	2	3	8.31	6	NA
WGS0653	49	97	25	16	1	6.75	18.36	9	0	0	1	2	2	3	8.44	5.44	NA
WGS0654	42	73.3	26.3	15	2	5.42	18.54	7	1	0	2	2	2	2	3.9	2.78	NA
WGS0655	55	97	21.3	16.7	5	6.3	18.08	8	1	0	2	3	2	2	10.31	7.77	NA
WGS0656	48	97	24.3	13.2	2	6.27	18.24	8	2	0	3	2	2	3	8.86	6.97	NA
WGS0657	49	98.3	24	13.7	1	6.84	20.2	9	2	0	3	4	3	3	4.63	2.77	NA
WGS0658	43	77.7	28	12	1	5.38	16.88	7	0	0	1	4	3	3	5.47	4.04	NA
WGS0659	49	99.3	25.8	16.5	5	5.88	16.2	8	0	0	1	2	2	3	6.92	4.88	NA
